Set_of_parameters_modelNumber	C_Value	Sigma_Value	Genes	Misclass	Misclass_Error	LogLoss	LogLoss_Error	GOF	GOF_Error	Accuracy0	Accuracy1	Accuracy0_err	Accuracy1_err	MCC
30deg0-10deg1-6deg2_12	100	100	KCNK12;AGER	0.732915	0.012121	0.910003	0.021751	0.732915	0.012121	0.922581	0.108949	0.012903	0.018158	0.0410785775602431
30deg0-10deg1-6deg2_17	10000	1000	KCNK12;AGER	0.732915	0.012121	0.910003	0.021751	0.732915	0.012121	0.922581	0.108949	0.012903	0.018158	0.0410785775602431
30deg0-14deg1-6deg2_21	100000	100000	OSBPL9;CPB2;CAPN9	0.762382	0.036991	3.755823	0.863479	0.762382	0.036991	0.961290	0.063035	0.038710	0.055253	0.0410779398657655
30deg0-8deg1-6deg2_20	100000	10000	MATK	0.483386	0.001858	0.781746	0.015202	0.483386	0.001858	0.404839	0.543580	0.001613	0.002532	-0.0410583821031991
30deg0-8deg1-10deg2_3	100	1	EMX1	0.775862	0.004054	7.304623	1.797695	0.775862	0.004054	0.977419	0.042412	0.002634	0.005393	0.040756714781782
30deg0-6deg1-4deg2_9	1000	10	FOXC2;ELK3	0.755486	0.000000	1.039150	0.000000	0.755486	0.000000	0.951613	0.073930	0.000000	0.000000	0.0398882247472953
30deg0-6deg1-2deg2_3	100	1	S100P	0.627900	0.005491	0.780602	0.004975	0.627900	0.005491	0.767742	0.276654	0.010257	0.008534	0.0396624584549278
30deg0-8deg1-8deg2_21	100000	100000	FLI1;RBM4B	0.788088	0.011703	0.695575	0.001270	0.788088	0.011703	0.990323	0.024125	0.006452	0.016083	0.0395818547833192
30deg0-18deg1-8deg2_17	10000	1000	PRKCA	0.424138	0.059335	0.682318	0.010032	0.424138	0.059335	0.440323	0.608560	0.082735	0.093562	0.0394688599693658
30deg0-8deg1-2deg2_11	100000	10	CEACAM1	0.598746	0.013648	1.333522	0.126568	0.598746	0.013648	0.722581	0.323735	0.013125	0.019999	0.0394640511167424
30deg0-4deg1-0deg2_4	1000	1	PRKCA	0.284953	0.015523	0.653668	0.006278	0.284953	0.015523	0.196774	0.840078	0.035565	0.027742	0.0390898744973747
30deg0-8deg1-4deg2_4	1000	1	PRKCA	0.284953	0.015523	0.653668	0.006278	0.284953	0.015523	0.196774	0.840078	0.035565	0.027742	0.0390898744973747
30deg0-14deg1-0deg2_21	100000	100000	C1QA;DAB2;IRAK3	0.799373	0.000000	1.243268	0.030244	0.799373	0.000000	1.000000	0.007782	0.000000	0.000000	0.0390132211039532
30deg0-14deg1-6deg2_1	1	1	MT1H	0.799373	0.000000	0.915333	0.003709	0.799373	0.000000	1.000000	0.007782	0.000000	0.000000	0.0390132211039532
30deg0-2deg1-0deg2_6	100000	1	ITGBL1;FBN1	0.431348	0.067090	0.699385	0.011909	0.431348	0.067090	0.451613	0.596887	0.106229	0.108658	0.0389844475331757
30deg0-2deg1-2deg2_8	100	10	CTGF;ELK3;GRTP1;PALM;FBN1	0.725078	0.018309	0.845480	0.020047	0.725078	0.018309	0.909677	0.121790	0.020571	0.027514	0.0389316431499443
30deg0-18deg1-0deg2_18	100000	1000	NGF;SOX2;CARD9	0.429467	0.000000	0.728059	0.001169	0.429467	0.000000	0.322581	0.630350	0.000000	0.000000	-0.038791208950882
30deg0-20deg1-2deg2_1	1	1	BAK1	0.631034	0.003798	0.772282	0.002931	0.631034	0.003798	0.654839	0.300000	0.007293	0.006419	-0.0386815230910727
30deg0-18deg1-0deg2_14	10000	100	PRKCB;ELN;BAK1	0.352351	0.065622	9.199901	2.315294	0.352351	0.065622	0.316129	0.727626	0.081720	0.101167	0.0385246952270883
30deg0-14deg1-8deg2_3	100	1	CEACAM7	0.723197	0.015944	1.031093	0.134283	0.723197	0.015944	0.906452	0.124903	0.020515	0.024721	0.0383459013595004
30deg0-16deg1-8deg2_13	1000	100	OGFOD1	0.562069	0.058183	0.701424	0.008817	0.562069	0.058183	0.662903	0.383658	0.087469	0.093267	0.0380652963705686
30deg0-14deg1-0deg2_6	100000	1	MRPS12;CTGF	0.478997	0.059051	0.696471	0.004208	0.478997	0.059051	0.403226	0.549416	0.103500	0.098137	-0.0377398830467113
30deg0-12deg1-0deg2_14	10000	100	RPL10A;E2F5;MYL1	0.707837	0.039929	0.693002	0.010671	0.707837	0.039929	0.883871	0.149416	0.047409	0.060999	0.0376318650862044
30deg0-10deg1-2deg2_19	10000	10000	PADI3;KIF13B;ITGB7;HMGA1	0.604702	0.035239	0.733679	0.002625	0.604702	0.035239	0.729032	0.314786	0.046548	0.054931	0.0376163754297026
30deg0-12deg1-2deg2_13	1000	100	LAMA5	0.740125	0.048959	0.800720	0.025029	0.740125	0.048959	0.929032	0.098444	0.050732	0.072892	0.0374164568063347
30deg0-4deg1-2deg2_12	100	100	ISG20	0.334796	0.006017	0.684208	0.014728	0.334796	0.006017	0.179032	0.782490	0.004466	0.008494	-0.0373798105976751
30deg0-4deg1-2deg2_17	10000	1000	ISG20	0.334796	0.006017	0.684398	0.014763	0.334796	0.006017	0.179032	0.782490	0.004466	0.008494	-0.0373798105976751
30deg0-16deg1-10deg2_2	10	1	HMG20B	0.506583	0.001881	0.762328	0.003896	0.506583	0.001881	0.572581	0.474319	0.003607	0.003148	0.0372073545474219
30deg0-6deg1-6deg2_5	10000	1	KIF14;KIF1A;AAK1;RFX4	0.275862	0.000000	0.602878	0.002089	0.275862	0.000000	0.177419	0.856031	0.000000	0.000000	0.0370214328578467
30deg0-6deg1-6deg2_6	100000	1	KIF14;KIF1A;AAK1;RFX4	0.275862	0.000000	0.602930	0.002085	0.275862	0.000000	0.177419	0.856031	0.000000	0.000000	0.0370214328578467
30deg0-14deg1-10deg2_13	1000	100	FOXC2	0.778997	0.017979	2.636997	0.343739	0.778997	0.017979	0.929032	0.050195	0.027853	0.028318	-0.036295214792334
30deg0-8deg1-0deg2_16	1000	1000	ELN;C1QA;IL12A;ITIH4	0.194044	0.000313	0.565341	0.013854	0.194044	0.000313	0.001613	1.000000	0.001613	0.000000	0.0360542519941736
30deg0-18deg1-6deg2_2	10	1	REEP1	0.199687	0.001149	0.630011	0.006509	0.199687	0.001149	0.000000	0.993385	0.000000	0.001427	-0.0359522247987909
30deg0-20deg1-0deg2_8	100	10	F3;INS;TGFB2;PAX4;LAMA5	0.800313	0.000669	0.959822	0.040580	0.800313	0.000669	1.000000	0.006615	0.000000	0.000830	0.0359522247987907
30deg0-4deg1-4deg2_8	100	10	GADD45G;PLXNC1	0.657053	0.040441	0.690999	0.005800	0.657053	0.040441	0.806452	0.231128	0.052677	0.062905	0.035677550796343
30deg0-14deg1-8deg2_6	100000	1	CTGF	0.740125	0.008723	0.844109	0.011587	0.740125	0.008723	0.927419	0.098833	0.015442	0.014515	0.0356421990559676
30deg0-16deg1-4deg2_5	10000	1	TM4SF1;MSC;PHLDA1	0.633856	0.070132	0.798907	0.017032	0.633856	0.070132	0.664516	0.294163	0.136961	0.120092	-0.0356067439619322
30deg0-20deg1-0deg2_16	1000	1000	ETS2;BUB1;CEACAM8;BDNF	0.750784	0.022597	0.879670	0.034178	0.750784	0.022597	0.941935	0.082101	0.017864	0.032188	0.0355861576816367
30deg0-4deg1-0deg2_21	100000	100000	FBN1;BMP2K;MRPS12	0.767398	0.025496	0.762874	0.006959	0.767398	0.025496	0.906452	0.070039	0.062366	0.046693	-0.0354038030138311
30deg0-12deg1-2deg2_18	100000	1000	LAMA5	0.740439	0.048662	0.800635	0.025031	0.740439	0.048662	0.927419	0.098444	0.052306	0.072892	0.0351668266146929
30deg0-10deg1-0deg2_3	100	1	DDR2;PRKCB	0.521630	0.077298	0.704380	0.005018	0.521630	0.077298	0.593548	0.450584	0.110622	0.122633	0.0351638503067499
30deg0-10deg1-0deg2_4	1000	1	DDR2;PRKCB	0.521630	0.077298	0.704380	0.005018	0.521630	0.077298	0.593548	0.450584	0.110622	0.122633	0.0351638503067499
30deg0-10deg1-0deg2_6	100000	1	DDR2;PRKCB	0.521630	0.077298	0.704380	0.005018	0.521630	0.077298	0.593548	0.450584	0.110622	0.122633	0.0351638503067499
30deg0-12deg1-6deg2_18	100000	1000	ZNF668;HMG20B;CBR3	0.721003	0.056426	0.719682	0.012205	0.721003	0.056426	0.819355	0.148638	0.120430	0.099092	-0.035009355507086
30deg0-8deg1-2deg2_1	1	1	GPR137B;FXYD5	0.432602	0.081404	0.727102	0.002558	0.432602	0.081404	0.333871	0.623735	0.145361	0.136110	-0.0347846314986979
30deg0-4deg1-6deg2_13	1000	100	FBN1;MRPS12;MSX2;TLR4;LOR;LCN2	0.776176	0.000836	1.174673	0.034729	0.776176	0.000836	0.974194	0.042802	0.005483	0.002009	0.0345285272427094
30deg0-4deg1-6deg2_18	100000	1000	FBN1;MRPS12;MSX2;TLR4;LOR;LCN2	0.776176	0.000836	1.175794	0.034694	0.776176	0.000836	0.974194	0.042802	0.005483	0.002009	0.0345285272427094
30deg0-16deg1-6deg2_15	100000	100	POU6F1;EDNRA;CYP27A1	0.771160	0.000000	2.541870	0.064552	0.771160	0.000000	0.967742	0.050584	0.000000	0.000000	0.034256777845346
30deg0-8deg1-8deg2_12	100	100	GRIK3;CBR1;EXT1;HTR2A	0.228840	0.000000	0.572265	0.006740	0.228840	0.000000	0.032258	0.949416	0.000000	0.000000	-0.0342567778453459
30deg0-8deg1-8deg2_17	10000	1000	GRIK3;CBR1;EXT1;HTR2A	0.228840	0.000000	0.571940	0.006735	0.228840	0.000000	0.032258	0.949416	0.000000	0.000000	-0.0342567778453459
30deg0-16deg1-6deg2_6	100000	1	FARP1;NHLH1;HPCAL4;HNF4A	0.802508	0.000000	0.808272	0.001645	0.802508	0.000000	0.983871	0.007782	0.000000	0.000000	-0.0342208394485177
30deg0-16deg1-4deg2_7	10	10	ERCC2;KATNA1;ISG20;ITGB4;TNC	0.319749	0.000000	0.613683	0.002467	0.319749	0.000000	0.161290	0.805447	0.000000	0.000000	-0.0336820126113501
30deg0-6deg1-2deg2_17	10000	1000	GPR137B	0.246708	0.004410	0.580765	0.008845	0.246708	0.004410	0.056452	0.921401	0.011840	0.008137	-0.0334173258660895
30deg0-4deg1-2deg2_18	100000	1000	ISG20	0.329154	0.002992	0.691553	0.013844	0.329154	0.002992	0.175806	0.790272	0.002895	0.004319	-0.0333632546580847
30deg0-14deg1-0deg2_18	100000	1000	ETS2;ARHGEF1;BMP2K;DAB2	0.391850	0.080875	0.661152	0.015654	0.391850	0.080875	0.375806	0.664202	0.122860	0.130020	0.0333361604260158
30deg0-8deg1-6deg2_12	100	100	MT1H;KCNK12;PRLR;SLC34A1	0.290909	0.057929	0.630696	0.026808	0.290909	0.057929	0.119355	0.851362	0.097909	0.095381	-0.0331052134721704
30deg0-20deg1-4deg2_6	100000	1	SAMD9	0.738871	0.040489	0.756509	0.011907	0.738871	0.040489	0.854839	0.117899	0.057101	0.063929	-0.0328229410512303
30deg0-20deg1-4deg2_16	1000	1000	MSC;FAM134B	0.736050	0.035435	0.747769	0.003211	0.736050	0.035435	0.850000	0.122568	0.076376	0.062409	-0.0325020940856429
30deg0-20deg1-4deg2_20	100000	10000	MSC;FAM134B	0.736050	0.035435	0.747769	0.003211	0.736050	0.035435	0.850000	0.122568	0.076376	0.062409	-0.0325020940856429
30deg0-10deg1-0deg2_10	10000	10	GDNF	0.586207	0.046098	1.065660	0.107570	0.586207	0.046098	0.691935	0.346693	0.076806	0.075418	0.0322860985099271
30deg0-6deg1-4deg2_12	100	100	SV2A;BAK1;SYNPO	0.480251	0.059377	0.679815	0.005927	0.480251	0.059377	0.414516	0.545136	0.120724	0.102826	-0.0321125914268763
30deg0-16deg1-10deg2_4	1000	1	HMG20B	0.505329	0.004550	0.824263	0.011674	0.505329	0.004550	0.561290	0.478599	0.002151	0.005915	0.0316223669302742
30deg0-20deg1-6deg2_19	10000	10000	SETD4;GPR137B;ADAM28;CEACAM1;HOXA3	0.241379	0.001478	0.607053	0.007101	0.241379	0.001478	0.106452	0.915953	0.017701	0.005806	0.0312309275751134
30deg0-8deg1-0deg2_18	100000	1000	BIRC3	0.565517	0.082051	0.709156	0.023268	0.565517	0.082051	0.556452	0.405058	0.151289	0.138336	-0.030938384858663
30deg0-2deg1-2deg2_2	10	1	RCN3	0.563323	0.034155	0.797496	0.017243	0.563323	0.034155	0.553226	0.408560	0.063251	0.057550	-0.030679131441513
30deg0-6deg1-4deg2_10	10000	10	PLXNC1	0.410658	0.077250	1.268789	0.333862	0.410658	0.077250	0.403226	0.634241	0.135735	0.128441	0.0306565156773456
30deg0-10deg1-0deg2_12	100	100	HMG20B	0.505329	0.009390	0.810486	0.010732	0.505329	0.009390	0.559677	0.478988	0.010494	0.014107	0.0306498057691642
30deg0-16deg1-0deg2_1	1	1	ETS2	0.656426	0.033180	0.740098	0.000849	0.656426	0.033180	0.798387	0.233852	0.044286	0.051801	0.030426736248335
30deg0-8deg1-0deg2_13	1000	100	BIRC3	0.564890	0.082197	0.709093	0.023249	0.564890	0.082197	0.556452	0.405837	0.151289	0.138518	-0.0303053836687704
30deg0-14deg1-4deg2_5	10000	1	RBM4B;SYNPO;BSCL2;TLR4	0.801881	0.001536	0.809448	0.020813	0.801881	0.001536	1.000000	0.004669	0.000000	0.001906	0.0301808029255816
30deg0-14deg1-4deg2_6	100000	1	RBM4B;SYNPO;BSCL2;TLR4	0.801881	0.001536	0.809489	0.020817	0.801881	0.001536	1.000000	0.004669	0.000000	0.001906	0.0301808029255816
30deg0-18deg1-2deg2_7	10	10	IGF1;S100P;BAK1;BDNF;SOX5;HMG20B	0.801881	0.001386	0.867048	0.028656	0.801881	0.001386	1.000000	0.004669	0.000000	0.001721	0.0301808029255816
30deg0-8deg1-4deg2_9	1000	10	PRLR;ELN	0.357053	0.077255	0.662456	0.018682	0.357053	0.077255	0.311290	0.722957	0.126659	0.126066	0.0300619745956092
30deg0-18deg1-6deg2_10	10000	10	RFX4	0.482132	0.061880	0.838621	0.074260	0.482132	0.061880	0.420968	0.541245	0.116493	0.104825	-0.0300472365487548
30deg0-4deg1-2deg2_11	100000	10	PALM	0.637931	0.002890	1.133446	0.024187	0.637931	0.002890	0.680645	0.285214	0.003226	0.004264	-0.0297170487744751
30deg0-4deg1-4deg2_11	100000	10	PALM	0.637931	0.002890	1.133446	0.024187	0.637931	0.002890	0.680645	0.285214	0.003226	0.004264	-0.0297170487744751
30deg0-4deg1-2deg2_21	100000	100000	FAM134B	0.268339	0.001492	0.538947	0.000825	0.268339	0.001492	0.090323	0.886381	0.006452	0.003372	-0.0295693316538527
30deg0-4deg1-0deg2_19	10000	10000	ITGBL1	0.756740	0.010689	0.841302	0.017787	0.756740	0.010689	0.945161	0.073930	0.016519	0.016990	0.0295652292310314
30deg0-18deg1-6deg2_14	10000	100	TLR4;FRAT1	0.347962	0.000000	3.513439	0.877971	0.347962	0.000000	0.209677	0.758755	0.000000	0.000000	-0.0294566972910323
30deg0-4deg1-2deg2_5	10000	1	OLFML2B;ELN;CPB2	0.563636	0.098799	0.707522	0.007992	0.563636	0.098799	0.651613	0.384436	0.142228	0.156945	0.0294274567503986
30deg0-10deg1-4deg2_15	100000	100	SIDT1;TRIP10;FLI1	0.692476	0.044979	0.749647	0.003801	0.692476	0.044979	0.851613	0.176265	0.077866	0.074078	0.0293097839849473
30deg0-18deg1-8deg2_5	10000	1	F11R;ZFP36L2;LAMA5	0.718809	0.044328	0.734847	0.004608	0.718809	0.044328	0.822581	0.150584	0.075307	0.072276	-0.0292797523977205
30deg0-18deg1-8deg2_6	100000	1	F11R;ZFP36L2;LAMA5	0.718809	0.044328	0.734858	0.004604	0.718809	0.044328	0.822581	0.150584	0.075307	0.072276	-0.0292797523977205
30deg0-4deg1-0deg2_20	100000	10000	QKI	0.729467	0.051259	0.749582	0.013264	0.729467	0.051259	0.841935	0.132685	0.105623	0.088954	-0.0291525236992112
30deg0-8deg1-0deg2_20	100000	10000	BIRC3	0.553605	0.087962	0.693168	0.019293	0.553605	0.087962	0.540323	0.423735	0.157431	0.147062	-0.0287219160311177
30deg0-6deg1-6deg2_21	100000	100000	RREB1;NOX3;SETD4	0.748589	0.038036	0.715940	0.010028	0.748589	0.038036	0.877419	0.100389	0.081720	0.066926	-0.0286818092971244
30deg0-10deg1-10deg2_5	10000	1	CBR3;PHF20;IL23A;KRT32	0.749216	0.034235	0.742835	0.003597	0.749216	0.034235	0.933871	0.085992	0.038877	0.047501	0.0286267143770298
30deg0-14deg1-0deg2_11	100000	10	CPB2	0.760815	0.001752	6.639737	0.629230	0.760815	0.001752	0.950000	0.067704	0.001613	0.002261	0.0285683671993164
30deg0-16deg1-4deg2_6	100000	1	DAB2;CD80	0.594984	0.044514	2.465654	0.118124	0.594984	0.044514	0.609677	0.355642	0.067742	0.071595	-0.0285495725571922
30deg0-10deg1-10deg2_21	100000	100000	PCDH12;LAMB3	0.797492	0.005434	0.694328	0.000585	0.797492	0.005434	0.974194	0.016342	0.017204	0.010895	-0.0280296186144135
30deg0-8deg1-6deg2_17	10000	1000	MT1H;KCNK12;PRLR;SLC34A1	0.285893	0.058379	0.627155	0.026206	0.285893	0.058379	0.117742	0.857977	0.098081	0.096004	-0.0279169558458699
30deg0-20deg1-6deg2_15	100000	100	FXYD1;PRKCB	0.601881	0.000000	17.355148	0.002959	0.601881	0.000000	0.709677	0.322957	0.000000	0.000000	0.0277615564249143
30deg0-10deg1-2deg2_21	100000	100000	ITIH4;RBM4B	0.802508	0.002090	0.693576	0.000227	0.802508	0.002090	1.000000	0.003891	0.000000	0.002594	0.0275431045907421
30deg0-12deg1-6deg2_7	10	10	PLXNC1;NRTN;FAM134B;HNF4A	0.802508	0.000000	1.896910	0.018100	0.802508	0.000000	1.000000	0.003891	0.000000	0.000000	0.0275431045907421
30deg0-4deg1-0deg2_8	100	10	PRKCA;TLE1	0.197492	0.000000	0.657306	0.000000	0.197492	0.000000	0.000000	0.996109	0.000000	0.000000	-0.0275431045907418
30deg0-10deg1-6deg2_2	10	1	TRIM68	0.528527	0.002392	0.769627	0.003274	0.528527	0.002392	0.591935	0.442412	0.003443	0.003716	0.0274099090460571
30deg0-20deg1-6deg2_18	100000	1000	GDNF;DAB2;MME	0.757994	0.035885	0.739458	0.004877	0.757994	0.035885	0.945161	0.072374	0.047859	0.056022	0.0273827693718158
30deg0-2deg1-0deg2_5	10000	1	E2F5;BAK1;AGER;IL12A	0.448276	0.000000	0.675676	0.003051	0.448276	0.000000	0.370968	0.595331	0.000000	0.000000	-0.0272428631542513
30deg0-4deg1-6deg2_19	10000	10000	FBN1;SLC7A2;DHRS7;ELK3	0.722257	0.023501	0.741322	0.005426	0.722257	0.023501	0.893548	0.129183	0.047189	0.039769	0.0272195817765224
30deg0-10deg1-2deg2_16	1000	1000	PADI3;FAM134B	0.335423	0.000000	0.662353	0.003364	0.335423	0.000000	0.193548	0.778210	0.000000	0.000000	-0.0271433403118384
30deg0-10deg1-2deg2_20	100000	10000	PADI3;FAM134B	0.335423	0.000000	0.662354	0.003364	0.335423	0.000000	0.193548	0.778210	0.000000	0.000000	-0.0271433403118384
30deg0-14deg1-8deg2_1	1	1	CYP11B2	0.605643	0.083131	0.875225	0.091888	0.605643	0.083131	0.714516	0.317121	0.119496	0.131996	0.0270450566012657
30deg0-20deg1-2deg2_21	100000	100000	GNAI1;BDNF;BAK1	0.674922	0.053923	0.714699	0.004755	0.674922	0.053923	0.748387	0.222957	0.113011	0.093403	-0.027005890241349
30deg0-8deg1-4deg2_5	10000	1	PRKCA	0.295611	0.037162	0.667576	0.007488	0.295611	0.037162	0.200000	0.826070	0.063532	0.061290	0.0269102420730756
30deg0-18deg1-0deg2_21	100000	100000	ELN;ERCC2;NGF;SYK	0.668966	0.044190	0.734643	0.003853	0.668966	0.044190	0.738710	0.232685	0.083283	0.074872	-0.0265701726543383
30deg0-0deg1-2deg2_5	10000	1	OLFML2B;NOX3;C1orf21	0.340125	0.051724	0.591968	0.012274	0.340125	0.051724	0.201613	0.770428	0.088710	0.085603	-0.0265303754707372
30deg0-4deg1-2deg2_20	100000	10000	SURF2	0.793417	0.001358	1.527332	0.159481	0.793417	0.001358	0.966129	0.023346	0.007391	0.003124	-0.0264748571104112
30deg0-18deg1-2deg2_15	100000	100	TCF4;TAC1	0.803762	0.001254	0.693784	0.000263	0.803762	0.001254	0.990323	0.004669	0.006452	0.003113	-0.0264566614919393
30deg0-18deg1-0deg2_2	10	1	TP53	0.682759	0.021992	0.767711	0.003154	0.682759	0.021992	0.762903	0.209728	0.040736	0.037066	-0.026359784963599
30deg0-12deg1-6deg2_11	100000	10	AGER	0.521630	0.068262	0.687443	0.020912	0.521630	0.068262	0.491935	0.475097	0.125495	0.114876	-0.0261090849692997
30deg0-18deg1-2deg2_19	10000	10000	TGM2;CARD9	0.645768	0.055725	0.741669	0.006019	0.645768	0.055725	0.775806	0.252529	0.095586	0.084379	0.0259977670682986
30deg0-14deg1-6deg2_4	1000	1	KCNN3	0.787774	0.000940	2.882494	0.167570	0.787774	0.000940	0.983871	0.026070	0.000000	0.001167	0.025630547734791
30deg0-4deg1-6deg2_15	100000	100	CTGF;ARHGAP25	0.745455	0.040125	0.701574	0.004345	0.745455	0.040125	0.925806	0.092607	0.049462	0.061738	0.0255846687416423
30deg0-10deg1-2deg2_7	10	10	F13A1;POU6F1;IRAK3;ADAM28	0.611285	0.003135	0.764175	0.017862	0.611285	0.003135	0.641935	0.327626	0.012903	0.007004	-0.0255470308646701
30deg0-12deg1-2deg2_21	100000	100000	KIF13B	0.264890	0.013497	0.607014	0.014032	0.264890	0.013497	0.143548	0.877821	0.045203	0.027619	0.0254522215457277
30deg0-8deg1-8deg2_10	10000	10	FXYD1;PKNOX1;SLC7A2	0.473354	0.076921	0.676682	0.019074	0.473354	0.076921	0.414516	0.553696	0.132896	0.127494	-0.0253396895548253
30deg0-10deg1-4deg2_18	100000	1000	RPH3AL;TRIP10	0.350470	0.066458	0.684226	0.002489	0.350470	0.066458	0.219355	0.753307	0.124731	0.112581	-0.0252799311367916
30deg0-10deg1-8deg2_10	10000	10	COL1A1;KIF14	0.686207	0.077323	0.729621	0.014293	0.686207	0.077323	0.837097	0.187549	0.085868	0.115312	0.0252350302197261
30deg0-18deg1-4deg2_7	10	10	LAMB3;BDNF;VENTX	0.584953	0.051078	0.689766	0.013163	0.584953	0.051078	0.598387	0.370817	0.083306	0.083434	-0.0251475865405904
30deg0-18deg1-4deg2_21	100000	100000	HTR2A;NRTN;C4BPA;CYP27A1	0.720376	0.059755	0.744918	0.012457	0.720376	0.059755	0.830645	0.146693	0.091753	0.096000	-0.0250387348645943
30deg0-14deg1-6deg2_14	10000	100	FARP1;NMT2	0.408464	0.086671	0.725943	0.000254	0.408464	0.086671	0.311290	0.659144	0.150289	0.143837	-0.0247853936169979
30deg0-16deg1-2deg2_7	10	10	TCF4;QKI;TUBB6	0.788088	0.011703	0.787704	0.019270	0.788088	0.011703	0.983871	0.025681	0.010753	0.017121	0.0247850729682732
30deg0-10deg1-0deg2_21	100000	100000	HNF4A;TLE1;RPL10A	0.803135	0.001672	0.693866	0.000360	0.803135	0.001672	1.000000	0.003113	0.000000	0.002075	0.0246283516205897
30deg0-14deg1-10deg2_8	100	10	GDNF;SCN5A;NHLH1	0.207837	0.013480	0.619476	0.012570	0.207837	0.013480	0.011290	0.980545	0.011290	0.019455	-0.0243895703326829
30deg0-20deg1-6deg2_3	100	1	SYNE1	0.750470	0.040308	0.746292	0.012030	0.750470	0.040308	0.885484	0.096109	0.071262	0.066919	-0.0243130593702093
30deg0-10deg1-8deg2_2	10	1	PDZD3	0.303135	0.010749	0.646261	0.005087	0.303135	0.010749	0.209677	0.814397	0.007603	0.015093	0.0242691331563237
30deg0-8deg1-6deg2_8	100	10	MT1H;IRAK3;IFI16;LAMA5;ITGBL1;SGK1	0.552978	0.074579	0.700349	0.019955	0.552978	0.074579	0.546774	0.422957	0.136573	0.125340	-0.0242015543868216
30deg0-18deg1-0deg2_7	10	10	TP53	0.491223	0.001872	0.683970	0.001164	0.491223	0.001872	0.525806	0.504669	0.005987	0.003716	0.024118305906874
30deg0-8deg1-10deg2_1	1	1	VAMP5	0.801567	0.002727	0.747686	0.003258	0.801567	0.002727	0.985484	0.008560	0.009752	0.005707	-0.0240252291936175
30deg0-2deg1-2deg2_14	10000	100	POU6F1;DDR2;MME	0.782132	0.023511	0.742914	0.001725	0.782132	0.023511	0.975806	0.035019	0.024194	0.035019	0.0240087669317974
30deg0-4deg1-2deg2_7	10	10	BIRC3;PRKCA;XBP1;MME;ADAMTS5	0.796552	0.007798	0.791579	0.008939	0.796552	0.007798	0.974194	0.017510	0.022452	0.015095	-0.0239696661248434
30deg0-4deg1-0deg2_9	1000	10	PRKCA	0.249843	0.004048	0.659275	0.003279	0.249843	0.004048	0.114516	0.903502	0.011643	0.007378	0.0237660597332114
30deg0-8deg1-10deg2_16	1000	1000	DCHS2;BMP2K;ZIC4;PRKCA	0.652978	0.028605	0.752739	0.003616	0.652978	0.028605	0.783871	0.241634	0.025125	0.041539	0.0237446024498058
30deg0-20deg1-6deg2_2	10	1	ONECUT2	0.300940	0.002956	0.652037	0.005730	0.300940	0.002956	0.145161	0.832685	0.000000	0.003669	-0.0237332638331291
30deg0-16deg1-2deg2_13	1000	100	SURF2	0.793417	0.001437	1.520529	0.162082	0.793417	0.001437	0.967742	0.022957	0.007213	0.003355	-0.0236826323477339
30deg0-16deg1-2deg2_18	100000	1000	SURF2	0.793417	0.001437	1.521319	0.162231	0.793417	0.001437	0.967742	0.022957	0.007213	0.003355	-0.0236826323477339
30deg0-4deg1-2deg2_16	1000	1000	SURF2	0.793417	0.001437	1.521326	0.162229	0.793417	0.001437	0.967742	0.022957	0.007213	0.003355	-0.0236826323477339
30deg0-0deg1-0deg2_3	100	1	MAPT	0.326019	0.054631	0.635600	0.015488	0.326019	0.054631	0.248387	0.776654	0.083781	0.087813	0.0236104648208637
30deg0-8deg1-0deg2_6	100000	1	TLE1;BMP2K;LAMB3	0.660815	0.051685	0.775380	0.010094	0.660815	0.051685	0.729032	0.245136	0.102484	0.082480	-0.0236014379148699
30deg0-8deg1-0deg2_12	100	100	BIRC3	0.546395	0.089006	0.690815	0.018950	0.546395	0.089006	0.537097	0.433463	0.157813	0.148515	-0.0234733990504427
30deg0-8deg1-0deg2_17	10000	1000	BIRC3	0.546395	0.089006	0.690836	0.018965	0.546395	0.089006	0.537097	0.433463	0.157813	0.148515	-0.0234733990504427
30deg0-20deg1-4deg2_14	10000	100	MSC;MRPS12;ACTN1	0.791223	0.009613	0.749850	0.006501	0.791223	0.009613	0.987097	0.021012	0.008602	0.014008	0.0232433160117069
30deg0-14deg1-8deg2_13	1000	100	WFDC1;RBM4B;DTNA;GDNF	0.795611	0.005405	0.788405	0.013196	0.795611	0.005405	0.972581	0.019066	0.008686	0.008709	-0.0232209155923967
30deg0-18deg1-0deg2_20	100000	10000	NGF	0.363009	0.005486	0.821426	0.078003	0.363009	0.005486	0.241935	0.732296	0.003400	0.007469	-0.0231696500342682
30deg0-10deg1-6deg2_4	1000	1	ZNF668	0.577116	0.033085	2.267107	0.948945	0.577116	0.033085	0.662903	0.364981	0.058276	0.054865	0.0229933091978585
30deg0-16deg1-4deg2_3	100	1	VENTX	0.664577	0.050949	0.769503	0.041308	0.664577	0.050949	0.737097	0.238521	0.094570	0.085749	-0.0224870487802553
30deg0-12deg1-0deg2_5	10000	1	PAX4	0.326019	0.054274	0.995209	0.161024	0.326019	0.054274	0.246774	0.777043	0.086392	0.088169	0.0224781690932725
30deg0-18deg1-4deg2_8	100	10	LAMB3;DLG2	0.784953	0.005631	0.692894	0.000643	0.784953	0.005631	0.951613	0.037354	0.013169	0.010166	-0.0224143853588542
